discount_percentage,rating,discounted_price,actual_price,rating_count,price_ratio,price_diff,label,label_code
87.0,4.2,4.867534450455582,6.907755278982137,6.198478716492308,0.7046477841022789,2.0402208285265546,Qualified,1
67.0,4.5,5.298317366548036,6.396929655216146,9.515543058145953,0.8282594388430884,1.09861228866811,Good,2
78.0,3.8,6.907755278982137,8.411832675758411,8.128880142125638,0.8211950409913893,1.5040773967762746,Bad,0
80.0,3.8,6.802394763324311,8.411832675758411,11.54299869797637,0.8086697662125105,1.6094379124341005,Bad,0
28.0,4.1,7.495541943884256,7.824046010856292,9.835155177159303,0.9580135307849393,0.3285040669720356,Qualified,1
65.0,4.1,5.179702735211794,6.214608098422191,9.628392595589819,0.8334721438873762,1.034905363210397,Qualified,1
5.0,4.4,6.259581464064923,6.311734809152915,9.407550541263888,0.9917370823291939,0.05215334508799163,Qualified,1
60.0,3.8,6.684611727667927,7.600902459542082,9.469545806435415,0.8794497447176348,0.9162907318741551,Bad,0
43.0,4.2,6.525029657843462,7.090076835776092,9.019058793810718,0.9203045057168583,0.5650471779326294,Qualified,1
66.0,4.1,7.090076835776092,8.157943507105037,9.368796057668156,0.8691009970344974,1.0678666713289449,Qualified,1
50.0,4.4,7.824046010856292,8.517193191416238,10.463817371205208,0.9186178867871037,0.6931471805599463,Qualified,1
64.0,4.1,7.495541943884256,8.517193191416238,10.918591412629715,0.8800483651631129,1.0216512475319819,Qualified,1
28.0,4.1,6.063785208687608,6.396929655216146,11.690795461589481,0.947921195872947,0.3331444465285385,Qualified,1
80.0,3.5,4.61512051684126,6.214608098422191,9.173572647783969,0.7426245458684642,1.5994875815809317,Bad,0
18.0,3.6,5.799092654460526,5.991464547107982,10.426320795426395,0.9678923423254984,0.19237189264745602,Bad,0
23.0,4.3,5.438079308923196,5.703782474656201,10.322592546348327,0.9534163220786184,0.26570316573300534,Qualified,1
54.0,3.8,4.941642422609304,5.703782474656201,8.021256180143997,0.866379888182388,0.762140052046897,Bad,0
52.0,4.0,7.090076835776092,7.824046010856292,10.421834817700965,0.9061905855280276,0.7339691750802002,Qualified,1
54.0,3.9,6.956545443151569,7.7406644019172415,7.484368643286131,0.8987013364677768,0.7841189587656725,Bad,0
60.0,4.1,4.787491742782046,5.703782474656201,8.699514748210191,0.8393538435335606,0.9162907318741551,Qualified,1
55.0,4.3,5.043425116919247,5.8289456176102075,9.502412792729256,0.8652379774623778,0.7855205006909607,Qualified,1
10.0,4.4,5.420534999272286,5.5254529391317835,10.187048645403605,0.9810118842717023,0.10491793985949727,Qualified,1
56.0,4.3,6.487684018484611,7.313220387090301,10.162152675917417,0.8871172582104906,0.8255363686056905,Qualified,1
