discounted_price,actual_price,discount_percentage,price_ratio,price_diff,discount_amount,is_heavy_discount,is_light_discount,price_volatility,price_category,discount_category,value_score,rating,rating_label
339.0,1099.0,69.0,0.30846223839851605,760.0,760.0,1,0,0.6915377616013929,5,4,0.028042021672592368,4.3,1
15490.0,20900.0,26.0,0.7411483253588482,5410.0,5410.0,0,0,0.2588516746411471,5,2,0.0035459945713547116,4.3,1
499.0,1299.0,62.0,0.38414164742106355,800.0,800.0,1,0,0.6158583525788595,5,4,0.029549357493927966,4.3,1
249.0,399.0,38.0,0.6240601503757834,150.0,150.0,0,0,0.3759398496239659,3,3,0.15601503759394586,3.4,0
399.0,799.0,50.0,0.49937421777215274,400.0,400.0,0,0,0.500625782227722,4,3,0.0624217772215191,4.3,1
1499.0,1999.0,25.0,0.7498749374686968,500.0,500.0,0,0,0.2501250625312531,5,2,0.03749374687343485,4.4,1
9490.0,15990.0,41.0,0.5934959349593458,6500.0,6500.0,0,0,0.40650406504064784,5,3,0.003711437276964204,3.9,0
637.0,1499.0,58.0,0.42494996664440127,862.0,862.0,1,0,0.575050033355532,5,4,0.02832999777629342,4.1,1
399.0,899.0,56.0,0.4438264738597949,500.0,500.0,1,0,0.5561735261400939,4,4,0.04931405265108832,3.9,0
1089.0,1600.0,32.0,0.6806249999999574,511.0,511.0,0,0,0.31937499999998004,5,3,0.0425124921923771,4.0,1
339.0,999.0,66.0,0.3393393393393054,660.0,660.0,1,0,0.6606606606605945,4,4,0.03393393393393054,4.3,1
149.0,499.0,70.0,0.29859719438871773,350.0,350.0,1,0,0.7014028056110819,3,4,0.05971943887774355,4.0,1
149.0,399.0,63.0,0.3734335839598062,250.0,250.0,1,0,0.6265664160399432,3,4,0.09335839598995153,3.9,0
599.0,849.0,29.0,0.7055359246171136,250.0,250.0,0,0,0.2944640753827686,4,2,0.08300422642554278,4.5,2
299.0,1199.0,75.0,0.2493744787322561,900.0,900.0,1,0,0.7506255212676605,5,4,0.020781206561021344,3.9,0
399.0,1299.0,69.0,0.30715935334870614,900.0,900.0,1,0,0.6928406466512168,5,4,0.023627642565285087,4.2,1
339.0,1999.0,83.0,0.16958479239618962,1660.0,1660.0,1,0,0.8304152076037603,5,4,0.008479239619809481,4.0,1
12499.0,22990.0,46.0,0.5436711613745083,10491.0,10491.0,0,0,0.4563288386254874,5,3,0.002364712980620714,4.3,1
249.0,399.0,38.0,0.6240601503757834,150.0,150.0,0,0,0.3759398496239659,3,3,0.15601503759394586,4.0,1
1399.0,2499.0,44.0,0.5598239295718063,1100.0,1100.0,0,0,0.44017607042815365,5,3,0.02239295718287225,4.4,1
32999.0,47990.0,31.0,0.6876224213377773,14991.0,14991.0,0,0,0.31237757866222066,5,3,0.0014328153640011197,4.3,1
149.0,399.0,63.0,0.3734335839598062,250.0,250.0,1,0,0.6265664160399432,3,4,0.09335839598995153,4.0,1
325.0,999.0,67.0,0.32532532532529274,674.0,674.0,1,0,0.6746746746746071,4,4,0.032532532532529274,4.3,1
399.0,1999.0,80.0,0.19959979989993998,1600.0,1600.0,1,0,0.80040020010001,5,4,0.009979989994996998,5.0,2
199.0,499.0,60.0,0.39879759519030084,300.0,300.0,1,0,0.6012024048094988,3,4,0.07975951903806017,3.7,0
88.0,299.0,71.0,0.2943143812708046,211.0,211.0,1,0,0.705685618728861,3,4,0.09810479375693487,4.0,1
399.0,1099.0,64.0,0.3630573248407313,700.0,700.0,1,0,0.6369426751591777,5,4,0.03300521134915739,4.1,1
57.89,199.0,71.0,0.29090452261291916,141.11,141.11,1,0,0.7090954773865784,2,4,0.14545226130645958,4.0,1
799.0,1999.0,60.0,0.39969984992494245,1200.0,1200.0,1,0,0.6003001500750075,5,4,0.019984992496247123,3.3,0
205.0,499.0,59.0,0.41082164328649085,294.0,294.0,1,0,0.5891783567133088,3,4,0.08216432865729817,3.8,0
299.0,699.0,57.0,0.4277539341916412,400.0,400.0,1,0,0.5722460658082157,4,4,0.06110770488452017,4.1,1
849.0,999.0,15.0,0.8498498498497647,150.0,150.0,0,0,0.1501501501501351,4,1,0.08498498498497647,4.1,1
949.0,1999.0,53.0,0.47473736868431843,1050.0,1050.0,1,0,0.5252626313156316,5,4,0.02373686843421592,4.4,1
499.0,1200.0,58.0,0.41583333333329864,701.0,701.0,1,0,0.584166666666618,5,4,0.03462392450735209,4.3,1
299.0,485.0,38.0,0.6164948453606977,186.0,186.0,0,0,0.3835051546390962,3,3,0.126850791226481,4.3,1
949.0,1999.0,53.0,0.47473736868431843,1050.0,1050.0,1,0,0.5252626313156316,5,4,0.02373686843421592,4.4,1
379.0,1099.0,66.0,0.3448589626933262,720.0,720.0,1,0,0.6551410373065828,5,4,0.031350814790302384,4.3,1
8990.0,18990.0,53.0,0.4734070563454425,10000.0,10000.0,1,0,0.5265929436545523,5,4,0.0024927968845529064,3.9,0
486.0,1999.0,76.0,0.24312156078037803,1513.0,1513.0,1,0,0.7568784392195719,5,4,0.012156078039018902,4.2,1
5699.0,11000.0,48.0,0.5180909090909044,5301.0,5301.0,0,0,0.4819090909090865,5,3,0.004709489219988223,4.2,1
709.0,1999.0,65.0,0.35467733866931694,1290.0,1290.0,1,0,0.645322661330633,5,4,0.017733866933465847,4.1,1
47990.0,70900.0,32.0,0.6768688293370936,22910.0,22910.0,0,0,0.32313117066290503,5,3,0.0009546675354890531,4.3,1
299.0,1199.0,75.0,0.2493744787322561,900.0,900.0,1,0,0.7506255212676605,5,4,0.020781206561021344,3.7,0
320.0,599.0,47.0,0.5342237061768724,279.0,279.0,0,0,0.4657762938229606,4,3,0.08903728436281207,4.1,1
139.0,549.0,75.0,0.2531876138433054,410.0,410.0,1,0,0.7468123861565124,4,4,0.046034111607873705,3.9,0
129.0,249.0,48.0,0.5180722891564185,120.0,120.0,0,0,0.48192771084318,3,3,0.20722891566256738,4.0,1
24999.0,35999.0,31.0,0.6944359565543468,11000.0,11000.0,0,0,0.3055640434456504,5,3,0.0019289887682065188,4.2,1
999.0,1699.0,41.0,0.5879929370217429,700.0,700.0,0,0,0.4120070629781982,5,3,0.03458781982480841,4.4,1
225.0,499.0,55.0,0.45090180360712406,274.0,274.0,1,0,0.5490981963926755,3,4,0.09018036072142482,4.1,1
547.0,2999.0,82.0,0.18239413137711963,2452.0,2452.0,1,0,0.817605868622847,5,4,0.0060798043792373215,4.3,1
259.0,699.0,63.0,0.37052932761081964,440.0,440.0,1,0,0.6294706723890372,4,4,0.052932761087259944,3.8,0
